# Mochi general-layer control set (public PKU held-out; do not hand-edit).
# rebuilt via: gate.py --rebuild-control --holdout 400 --max 200 --seed 29
# columns: keys<TAB>gold
guqinyuyese	古琴与夜色
zaizhegehuanjuxiqingzhiye	在这个欢聚喜庆之夜
changzhengqile	唱整齐了
menmeishangnaqianwanshuang	门楣上那千万双
fuyunaili	富于耐力
gangcongweixiaobiye	刚从卫校毕业
milinyoujianzhongdequanyun	密林幽涧中的泉韵
duiwuhaohaodangdang	队伍浩浩荡荡
zhanzaidashudeyinli	站在大树的荫里
chenglesongruandeditan	成了松软的地毯
qishanyishuidelingxiu	奇山异水的灵秀
xianzaiqiangwai	现在墙外
wodiyicitingdaozheshouge	我第一次听到这首歌
duanheping	段和平
zaibanmengbanxingzhijian	在半梦半醒之间
hongtuoyizhongfenwei	烘托一种氛围
wenwushilishidejilu	文物是历史的记录
shuojugongxifacaidekoucai	说句恭喜发财的口彩
waiyishou	外一首
nvrendouyouzijidejuehuo	女人都有自己的绝活
zhankainimeilidexiangwang	绽开你美丽的向往
zouyuededenggejiugewei	奏乐的等各就各位
shijieturanbiandenameqinhe	世界突然变得那么亲和
danyewufang	但也无妨
jieshangduodeshilaweidian	街上多的是腊味店
niupeiyan	牛沛岩
yichuanlainidejiaobusheng	已传来你的脚步声
jiuyongqiyifanchongjingzhiqing	就涌起一番崇敬之情
sanhuangwudidaorujin	三皇五帝到如今
xianzaixianglai	现在想来
madongsheng	马东生
hongyeluomanyidi	红叶落满一地
ririyeyesiniandeta	日日夜夜思念的她
wanshangyechang	晚上也唱
judengde	举灯的
nashiwoshibasui	那时我十八岁
hezuichun	和嘴唇
tandangdexionghuai	坦荡的胸怀
shuojuxinlihua	说句心里话
dangranxiaohaishidarenzhishide	当然小孩是大人指使的
gezheshengyinda	歌者声音大
fubanzhang	副班长
guangdongxinhuiyoukegurong	广东新会有棵古榕
danyuchou	旦与丑
kuaguosuimodezuihouyidaomenkan	跨过岁末的最后一道门槛
dajiazouqinqibainian	大家走亲戚拜年
hanzimenwuyinbuquan	汉子们五音不全
huxiangbainian	互相拜年
tashiziranheshenghuodeyuezhang	它是自然和生活的乐章
wuyinjixiang	戊寅吉祥
qianniandeshiguangdouluochenai	千年的时光抖落尘埃
yiyazhiyayiyoohei	咿呀吱呀咿唷哦嘿
shiqingliedeye	是清冽的夜
cengpenghui	曾鹏辉
dengnijiangwodejiemao	等你将我的睫毛
taxiangshiyipianyuyan	它像是一篇寓言
eqingzi	鄂青子
jiugandaoxinwei	就感到欣慰
zhiyoujingligaowendekuchu	只有经历高温的苦楚
zhurenbidingbianpaobuduan	主人必定鞭炮不断
cibatianjiu	糍粑甜酒
nijiangxindenianling	你将新的年龄
xiaxuedeshihou	下雪的时候
chusanzhengshikailuochangxi	初三正式开锣唱戏
chulebanzhang	除了班长
cuikaicuculengyandeshanhua	催开簇簇冷艳的山花
xuanaozaidixiashenmai	玄奥在地下深埋
shidun	十吨
gongzuipingshuo	功罪评说
nayezainageshengzhong	那夜在那歌声中
daigeizhenggeruixuedebeifang	带给整个瑞雪的北方
yuyifengmandechibang	羽翼丰满的翅膀
qiangrenlehenjiudeleishui	强忍了很久的泪水
chengshiyuxiangcun	城市与乡村
qiaoqiaowenshi	悄悄吻湿
kenayike	可那一刻
hemingmeidejiangnan	和明媚的江南
xianhongshuodadefuzi	鲜红硕大的福字
yiqiguqireqingdeshouzhang	一齐鼓起热情的手掌
deduoshixieweidushudewantong	的多是些未读书的顽童
queyouyizhongshuobuqing	却有一种说不清
woxiang	我想
zaichangjiangdeanbian	在长江的岸边
yidaoxiari	一到夏日
lunqu	论曲
tianjianlushang	田间路上
qingchedelihua	清澈的礼花
jiajiahuhudedamen	家家户户的大门
wofangfuzhangda	我仿佛长大
ergushu	而古树
wulongde	舞龙的
banzhangyijingtuiwu	班长已经退伍
zhongzuomeidebushihuaiyinqisu	中做媒的不是槐荫耆宿
renrennengchanghuiheng	人人能唱会哼
quecongmeiyouguojiedao	却从没有过街道
zhidesikaodeshi	值得思考的是
danhaishikongzhizheqingxu	但还是控制着情绪
youxiewantonglaizhebuzou	有些顽童赖着不走
xuwuding	徐武丁
nongminzhushangleloufang	农民住上了楼房
yiyibatamenkerulenianlun	一一把它们刻入了年轮
duoduodefenfanshixiang	多多的纷繁世象
baxiaocunnaodeshifenhonghuo	把小村闹得十分红火
ganxi	赶戏
qingdajialaichangzheshougeba	请大家来唱这首歌吧
shenghuaweiyizhongjingjie	升华为一种境界
nijiushuo	你就说
zhongshenghezaiyiqi	众声和在一起
quanshiyizhongqianniandeqidai	诠释一种千年的期待
caifajueyimishilelailu	才发觉已迷失了来路
wulongdegegejingshendousou	舞龙的个个精神抖擞
zhejiushijiangxiadadao	这就是江峡大道
neirongshibuzaiyide	内容是不在意的
junrentinglai	军人听来
yangqilianbishangyanjing	仰起脸闭上眼睛
suiranwomenxiangjia	虽然我们想家
jianguohedonghexidebianqian	见过河东河西的变迁
